,word,row,col,endpoint,direction,completion
0,typing,25,25,30,ACROSS,0
1,lifeline,19,29,26,DOWN,0
2,packed,22,25,30,ACROSS,0
3,dependent,23,27,31,DOWN,0
4,ultimatums,19,28,37,ACROSS,0
5,absolute,29,20,27,ACROSS,0
6,rugged,18,35,23,DOWN,0
7,splashy,15,37,21,DOWN,0
8,tainted,27,24,30,ACROSS,0
9,eye,21,36,38,ACROSS,0
10,scalped,15,37,43,ACROSS,0
11,fortuitous,31,21,30,ACROSS,0
12,grabby,13,39,18,DOWN,0
13,pieced,10,43,15,DOWN,0
14,reveals,12,40,46,ACROSS,0
15,despises,10,40,47,ACROSS,0
16,amputation,12,31,21,DOWN,0
17,lodged,23,33,38,ACROSS,0
18,strangled,12,28,36,ACROSS,0
19,inhale,17,28,33,ACROSS,0
20,fag,13,37,39,ACROSS,0
21,challenging,2,33,12,DOWN,0
22,seminal,4,28,34,ACROSS,0
23,arraignment,7,25,35,ACROSS,0
24,pegged,9,30,35,ACROSS,0
25,gentler,1,26,7,DOWN,0
26,parakeet,2,20,27,ACROSS,0
27,hail,5,23,26,ACROSS,0
28,comer,2,33,37,ACROSS,0
29,spoons,14,30,35,ACROSS,0
30,barged,17,39,44,ACROSS,0
31,calmer,0,29,5,DOWN,0
32,caved,0,29,33,ACROSS,0
33,dementia,1,36,8,DOWN,0
34,silvery,10,45,16,DOWN,0
35,populations,0,20,10,DOWN,0
36,saccharine,7,13,22,ACROSS,0
37,lodgings,9,15,22,ACROSS,0
38,survey,0,22,5,DOWN,0
39,tinsel,4,15,20,ACROSS,0
40,dilation,4,14,11,DOWN,0
41,hysterectomy,8,47,19,DOWN,0
42,puddle,5,41,10,DOWN,0
43,rights,8,29,13,DOWN,0
44,glycerin,11,7,14,ACROSS,0
45,historical,2,8,11,DOWN,0
46,raiders,3,6,12,ACROSS,0
47,hurricane,6,40,48,ACROSS,0
48,bedspread,7,3,11,ACROSS,0
49,awakened,0,5,7,DOWN,0
50,retractable,0,1,11,ACROSS,0
51,relieve,0,1,6,DOWN,0
52,insufferable,4,12,15,DOWN,0
53,month,5,3,7,ACROSS,0
54,uninterrupted,15,1,13,ACROSS,0
55,father,1,43,6,DOWN,0
56,shall,0,22,26,ACROSS,0
57,haircuts,9,4,11,ACROSS,0
58,eyre,4,36,39,ACROSS,0
59,replay,2,39,44,ACROSS,0
60,alchemy,19,41,47,ACROSS,0
61,soup,0,17,20,ACROSS,0
62,menacing,3,39,10,DOWN,0
63,unforgivable,13,3,14,ACROSS,0
64,disconnect,9,2,18,DOWN,0
65,refining,1,31,8,DOWN,0
66,appreciative,5,24,16,DOWN,0
67,possession,11,17,26,ACROSS,0
68,protracted,13,17,26,ACROSS,0
69,acceleration,17,0,11,ACROSS,0
70,hooter,4,43,48,ACROSS,0
71,subpoenas,16,19,27,ACROSS,0
72,abducted,15,21,22,DOWN,0
73,camps,19,21,25,ACROSS,0
74,parks,12,27,16,DOWN,0
75,astral,2,46,7,DOWN,0
76,deli,8,41,44,ACROSS,0
77,sportswear,21,14,23,ACROSS,0
78,plugging,13,17,20,DOWN,0
79,fountain,19,10,17,ACROSS,0
80,firewater,12,0,20,DOWN,0
81,lash,2,1,4,ACROSS,0
82,genie,1,16,5,DOWN,0
83,scotch,18,43,23,DOWN,0
84,handout,16,7,22,DOWN,0
85,nut,15,16,18,ACROSS,0
86,perfecto,22,1,8,ACROSS,0
87,cheated,19,1,7,ACROSS,0
88,curl,22,43,46,ACROSS,0
89,chenille,16,13,23,DOWN,0
90,outdid,19,11,24,DOWN,0
91,breezy,2,13,18,ACROSS,0
92,slough,21,19,26,DOWN,0
93,nibble,16,9,21,DOWN,0
94,emergencies,18,23,28,DOWN,0
95,eighth,23,13,18,ACROSS,0
96,reveal,15,15,20,DOWN,0
97,convicted,24,3,11,ACROSS,0
98,professors,21,45,30,DOWN,0
99,owls,26,42,45,ACROSS,0
100,spoonful,24,40,47,ACROSS,0
101,piece,1,10,5,DOWN,0
102,disintegrated,22,40,34,DOWN,0
103,highlands,31,35,43,ACROSS,0
104,roofer,28,36,41,ACROSS,0
105,sniping,25,13,19,ACROSS,0
106,naughty,24,5,30,DOWN,0
107,suggests,26,4,11,ACROSS,0
108,earthlings,28,1,10,ACROSS,0
109,condom,34,37,42,ACROSS,0
110,radiologist,18,33,28,DOWN,0
111,helps,21,2,25,DOWN,0
112,goggle,25,33,38,ACROSS,0
113,pasties,25,16,31,DOWN,0
114,nourishing,25,14,34,DOWN,0
115,elect,9,24,28,ACROSS,0
116,prey,23,21,24,ACROSS,0
117,defendants,33,7,16,ACROSS,0
118,staff,27,16,20,ACROSS,0
119,national,27,2,34,DOWN,0
120,gushing,28,11,34,DOWN,0
121,antibiotic,27,18,36,DOWN,0
122,slots,28,43,47,ACROSS,0
123,bigger,35,17,22,ACROSS,0
124,exists,30,6,11,ACROSS,0
125,ester,11,1,5,ACROSS,0
126,spreads,28,47,34,DOWN,0
127,prodded,27,42,33,DOWN,0
128,crutches,26,35,33,DOWN,0
129,dislocated,29,30,38,DOWN,0
130,truck,34,27,31,ACROSS,0
131,made,33,1,4,ACROSS,0
132,dependable,37,21,30,ACROSS,0
133,induced,31,7,37,DOWN,0
134,curlers,35,7,13,ACROSS,0
135,effort,0,48,5,DOWN,0
136,mugging,30,25,36,DOWN,0
137,snowman,32,38,38,DOWN,0
138,screws,33,16,38,DOWN,0
139,arsonist,37,38,45,ACROSS,0
140,die,0,46,48,ACROSS,0
141,biking,33,20,25,ACROSS,0
142,cliff,30,0,4,ACROSS,0
143,jellyfish,38,9,17,ACROSS,0
144,forethought,33,45,43,DOWN,0
145,toons,39,43,47,ACROSS,0
146,seductive,43,40,48,ACROSS,0
147,cafe,33,43,46,ACROSS,0
148,baseless,36,27,43,DOWN,0
149,ilk,40,26,28,ACROSS,0
150,rubber,39,41,44,DOWN,0
151,senile,42,27,32,ACROSS,0
152,prosecutorial,25,0,37,DOWN,0
153,poor,39,38,41,ACROSS,0
154,highest,38,32,44,DOWN,0
155,rehashing,32,4,40,DOWN,0
156,restrooms,44,29,37,ACROSS,0
