,word,row,col,endpoint,direction,completion
0,coy,25,25,27,ACROSS,0
1,election,19,26,26,DOWN,0
2,elevates,19,20,27,ACROSS,0
3,mountaintop,23,18,28,ACROSS,0
4,bankroll,12,21,19,DOWN,0
5,transaction,13,16,26,ACROSS,0
6,children,16,16,23,ACROSS,0
7,slay,11,18,14,DOWN,0
8,boxers,11,13,18,ACROSS,0
9,diligently,21,21,30,ACROSS,0
10,stair,10,24,14,DOWN,0
11,cones,10,20,24,ACROSS,0
12,unbelievably,2,13,13,DOWN,0
13,defiance,3,8,15,ACROSS,0
14,insipid,7,8,14,ACROSS,0
15,steroid,5,11,17,ACROSS,0
16,rancher,5,9,11,DOWN,0
17,tardiness,10,3,11,ACROSS,0
18,disorienting,0,22,11,DOWN,0
19,fiction,1,18,24,ACROSS,0
20,omen,3,22,25,ACROSS,0
21,representation,6,18,31,ACROSS,0
22,fossilized,0,29,9,DOWN,0
23,cloth,1,27,31,ACROSS,0
24,renewed,8,24,30,ACROSS,0
25,members,2,19,8,DOWN,0
26,mustangs,3,27,34,ACROSS,0
27,lard,0,8,3,DOWN,0
28,camped,1,7,12,ACROSS,0
29,gallows,3,33,9,DOWN,0
30,kicky,13,9,13,ACROSS,0
31,mathematically,0,4,13,DOWN,0
32,plagued,5,32,38,ACROSS,0
33,symbolize,9,33,41,ACROSS,0
34,firing,8,1,6,ACROSS,0
35,masculine,1,41,9,DOWN,0
36,roads,2,39,43,ACROSS,0
37,guesthouse,3,37,12,DOWN,0
38,assigned,7,38,45,ACROSS,0
39,insides,11,31,37,ACROSS,0
40,midst,2,0,4,ACROSS,0
41,niece,4,0,4,ACROSS,0
42,ties,3,17,20,ACROSS,0
43,fission,0,43,6,DOWN,0
44,honest,5,42,47,ACROSS,0
45,auxiliary,12,0,8,ACROSS,0
46,marlin,0,39,5,DOWN,0
47,guerilla,1,16,8,DOWN,0
48,plowed,1,45,6,DOWN,0
49,breath,6,1,6,ACROSS,0
50,alien,9,26,13,DOWN,0
51,spiders,7,39,13,DOWN,0
52,appointments,13,28,39,ACROSS,0
53,antivenin,3,0,11,DOWN,0
54,slender,15,19,21,DOWN,0
55,haps,8,15,18,ACROSS,0
56,cases,8,11,12,DOWN,0
57,rangers,2,35,8,DOWN,0
58,allergic,4,7,11,DOWN,0
59,insolence,20,11,19,ACROSS,0
60,discrimination,18,6,19,ACROSS,0
61,heroics,14,7,20,DOWN,0
62,animation,0,47,8,DOWN,0
63,labels,15,4,9,ACROSS,0
64,underlying,12,1,21,DOWN,0
65,artful,0,40,45,ACROSS,0
66,drives,20,2,7,ACROSS,0
67,jolly,12,31,16,DOWN,0
68,greets,2,26,7,DOWN,0
69,paychecks,16,29,37,ACROSS,0
70,fashion,12,28,18,DOWN,0
71,esteemed,11,39,46,ACROSS,0
72,minefield,8,43,16,DOWN,0
73,sprays,16,10,21,DOWN,0
74,banality,15,39,46,ACROSS,0
75,graveyards,17,5,26,DOWN,0
76,brake,23,3,7,ACROSS,0
77,gasses,26,0,5,ACROSS,0
78,replicating,15,34,25,DOWN,0
79,saw,16,10,12,ACROSS,0
80,phobias,19,30,36,ACROSS,0
81,sights,13,42,47,ACROSS,0
82,enlist,23,31,36,ACROSS,0
83,impudence,22,18,30,DOWN,0
84,robber,27,14,19,ACROSS,0
85,erica,29,15,19,ACROSS,0
86,groves,25,34,39,ACROSS,0
87,fostered,11,47,18,DOWN,0
88,tar,21,33,35,ACROSS,0
89,bastards,18,41,48,ACROSS,0
90,suspects,14,37,21,DOWN,0
91,sundae,21,37,42,ACROSS,0
92,dragons,16,39,22,DOWN,0
93,stiff,17,44,21,DOWN,0
94,interferes,19,12,28,DOWN,0
95,sunsets,22,8,14,ACROSS,0
96,diligence,25,7,15,ACROSS,0
97,coughing,23,0,30,DOWN,0
98,meaner,2,24,7,DOWN,0
99,infatuation,28,0,10,ACROSS,0
100,abandonment,19,41,29,DOWN,0
101,hurst,25,17,21,ACROSS,0
102,downtown,23,41,48,ACROSS,0
103,bankrolled,27,33,42,ACROSS,0
104,chemist,29,35,41,ACROSS,0
105,injector,20,31,27,DOWN,0
106,commodity,19,46,27,DOWN,0
107,tool,20,45,48,ACROSS,0
108,dares,8,45,12,DOWN,0
109,bureaucrats,27,16,37,DOWN,0
110,solicit,33,12,18,ACROSS,0
111,breaking,31,13,20,ACROSS,0
112,blubber,27,25,31,ACROSS,0
113,close,17,0,4,ACROSS,0
114,swatch,26,43,48,ACROSS,0
115,shame,0,1,5,ACROSS,0
116,docked,21,15,26,DOWN,0
117,laps,9,44,47,ACROSS,0
118,casual,35,12,17,ACROSS,0
119,dinks,11,25,29,ACROSS,0
120,context,4,31,10,DOWN,0
121,aargh,15,24,28,ACROSS,0
122,blunder,20,29,26,DOWN,0
123,polished,37,12,19,ACROSS,0
124,exceptionally,29,37,41,DOWN,0
125,leads,32,36,40,ACROSS,0
126,eunuch,37,35,40,ACROSS,0
127,spoken,25,20,30,DOWN,0
128,lowers,39,37,42,ACROSS,0
129,straighten,34,30,39,ACROSS,0
130,establishment,25,3,37,DOWN,0
131,defiant,31,0,6,ACROSS,0
132,hots,33,3,6,ACROSS,0
133,blur,19,48,22,DOWN,0
134,stepmother,35,1,10,ACROSS,0
135,matador,37,1,7,ACROSS,0
136,hydrolase,41,36,44,ACROSS,0
137,juror,18,3,22,DOWN,0
138,roommate,26,9,33,DOWN,0
139,mayor,22,23,26,DOWN,0
140,firehouse,32,32,40,DOWN,0
141,applies,39,26,32,ACROSS,0
142,booked,27,25,32,DOWN,0
143,attended,31,22,29,ACROSS,0
144,disciplinary,24,43,35,DOWN,0
145,hairdresser,26,48,36,DOWN,0
146,artifacts,26,7,34,DOWN,0
147,moderately,29,24,33,ACROSS,0
148,bottomless,28,23,37,DOWN,0
149,refocus,35,22,28,ACROSS,0
150,summoning,33,20,28,ACROSS,0
151,recliner,36,41,48,ACROSS,0
152,bothered,31,41,38,DOWN,0
153,thinks,12,41,17,DOWN,0
154,humph,32,21,36,DOWN,0
155,chimpanzee,30,46,39,DOWN,0
156,nourishment,30,34,40,DOWN,0
157,stapler,37,23,29,ACROSS,0
158,beam,38,45,48,ACROSS,0
