,word,row,col,endpoint,direction,completion
0,adjusting,25,25,33,ACROSS,0
1,pram,23,25,26,DOWN,0
2,bullies,19,29,25,DOWN,0
3,shield,21,25,30,ACROSS,0
4,alpha,23,23,27,ACROSS,0
5,citrus,16,25,21,DOWN,0
6,hieroglyphs,17,24,34,ACROSS,0
7,crusades,10,34,17,DOWN,0
8,aloe,14,34,37,ACROSS,0
9,cold,10,34,37,ACROSS,0
10,stack,21,23,25,DOWN,0
11,collaborator,19,14,25,ACROSS,0
12,tremor,12,27,17,DOWN,0
13,crumpets,12,21,28,ACROSS,0
14,finds,21,19,23,ACROSS,0
15,counted,12,32,38,ACROSS,0
16,cursory,7,22,13,DOWN,0
17,advertisers,9,13,23,ACROSS,0
18,bidding,19,29,35,ACROSS,0
19,finalizing,2,19,11,DOWN,0
20,stubs,16,19,20,DOWN,0
21,smoking,3,15,21,ACROSS,0
22,boycott,17,13,19,ACROSS,0
23,stress,14,24,29,ACROSS,0
24,chalkboard,5,12,21,ACROSS,0
25,activity,7,14,21,ACROSS,0
26,loins,10,29,14,DOWN,0
27,amiable,10,24,30,ACROSS,0
28,irregular,23,29,37,ACROSS,0
29,disruptions,6,17,16,DOWN,0
30,teasing,13,13,19,ACROSS,0
31,bullheaded,1,37,10,DOWN,0
32,fiddling,3,33,40,ACROSS,0
33,shockingly,5,36,45,ACROSS,0
34,becoming,1,37,44,ACROSS,0
35,relaxants,7,32,40,ACROSS,0
36,supercollider,0,12,12,DOWN,0
37,auxiliary,1,11,19,ACROSS,0
38,parasailing,15,8,18,ACROSS,0
39,chef,3,10,13,ACROSS,0
40,grilling,1,44,8,DOWN,0
41,pet,11,11,13,ACROSS,0
42,situations,4,41,13,DOWN,0
43,inspect,10,41,47,ACROSS,0
44,bracelets,0,10,8,DOWN,0
45,inconvenient,8,46,19,DOWN,0
46,sahib,0,6,10,ACROSS,0
47,geometry,19,41,48,ACROSS,0
48,headless,8,3,10,ACROSS,0
49,minus,3,43,47,ACROSS,0
50,retina,12,42,47,ACROSS,0
51,ketch,4,3,8,DOWN,0
52,clips,16,44,48,ACROSS,0
53,ultrasound,4,5,13,DOWN,0
54,century,7,42,48,ACROSS,0
55,truths,11,3,8,ACROSS,0
56,canals,4,7,9,DOWN,0
57,promenade,9,9,17,DOWN,0
58,accessory,0,32,8,DOWN,0
59,saints,0,31,36,ACROSS,0
60,printed,14,41,47,ACROSS,0
61,marksmanship,0,26,11,DOWN,0
62,impunity,0,48,7,DOWN,0
63,pear,1,24,27,ACROSS,0
64,shipyard,15,12,22,DOWN,0
65,home,5,0,3,ACROSS,0
66,borders,13,2,8,ACROSS,0
67,omen,5,25,28,ACROSS,0
68,rats,4,29,32,ACROSS,0
69,integrity,19,4,12,ACROSS,0
70,salads,8,26,31,ACROSS,0
71,sacred,17,5,10,ACROSS,0
72,coordinate,22,8,17,ACROSS,0
73,ups,11,16,18,ACROSS,0
74,mystified,15,4,23,DOWN,0
75,realize,21,0,6,ACROSS,0
76,tippy,16,0,4,ACROSS,0
77,rescuing,11,1,18,DOWN,0
78,miscalculated,19,36,31,DOWN,0
79,pore,30,33,36,ACROSS,0
80,panache,28,33,39,ACROSS,0
81,edit,23,3,6,ACROSS,0
82,beeped,13,37,18,DOWN,0
83,simpleton,21,36,44,ACROSS,0
84,hits,0,8,3,DOWN,0
85,confides,3,1,8,ACROSS,0
86,outdoorsy,26,35,43,ACROSS,0
87,explodes,16,35,42,ACROSS,0
88,frightfully,20,0,30,DOWN,0
89,jerseys,10,48,16,DOWN,0
90,attired,0,29,6,DOWN,0
91,media,1,35,5,DOWN,0
92,skeleton,10,39,17,DOWN,0
93,rather,2,0,7,DOWN,0
94,beliefs,11,43,17,DOWN,0
95,doubled,21,9,27,DOWN,0
96,petrol,25,4,9,ACROSS,0
97,apple,0,24,4,DOWN,0
98,swabs,19,2,23,DOWN,0
99,upwards,27,0,6,ACROSS,0
100,routes,1,46,6,DOWN,0
101,calcium,19,40,25,DOWN,0
102,divisions,23,39,47,ACROSS,0
103,reservation,21,7,31,DOWN,0
104,operation,29,1,9,ACROSS,0
105,dine,18,37,40,ACROSS,0
106,liberties,19,17,27,DOWN,0
107,lit,24,15,17,ACROSS,0
108,par,5,6,8,ACROSS,0
109,explored,26,11,18,ACROSS,0
110,bugging,31,2,8,ACROSS,0
111,phobic,21,45,26,DOWN,0
112,shutdown,23,47,30,DOWN,0
113,rugby,13,31,17,DOWN,0
114,translators,18,21,28,DOWN,0
115,residences,27,21,30,ACROSS,0
116,caramel,24,3,30,DOWN,0
117,cancers,27,28,33,DOWN,0
118,negligent,29,21,29,ACROSS,0
119,pigheaded,31,21,29,ACROSS,0
120,clairvoyant,30,38,48,ACROSS,0
121,sexes,33,24,28,ACROSS,0
122,breakthrough,24,11,35,DOWN,0
123,bakeries,29,40,36,DOWN,0
124,perennial,32,37,45,ACROSS,0
125,overly,32,11,16,ACROSS,0
126,lawfully,27,15,34,DOWN,0
127,ambiguity,34,7,15,ACROSS,0
128,ballads,28,14,20,ACROSS,0
129,hotheaded,35,33,41,ACROSS,0
130,sock,15,7,18,DOWN,0
131,draft,30,12,16,ACROSS,0
132,limits,19,38,24,DOWN,0
133,collage,34,34,40,DOWN,0
134,belly,37,31,35,ACROSS,0
135,sauna,6,24,10,DOWN,0
