,word,row,col,endpoint,direction,completion
0,illegible,25,25,33,ACROSS,0
1,secretaries,16,28,26,DOWN,0
2,flyboy,22,31,27,DOWN,0
3,disgraced,16,26,34,ACROSS,0
4,trademark,19,21,29,ACROSS,0
5,darts,21,25,29,ACROSS,0
6,traditionally,27,19,31,ACROSS,0
7,sideline,9,33,16,DOWN,0
8,collins,9,27,33,ACROSS,0
9,apropos,4,28,10,DOWN,0
10,joins,7,27,31,ACROSS,0
11,fatten,4,27,32,ACROSS,0
12,spears,12,31,36,ACROSS,0
13,fixating,14,28,35,ACROSS,0
14,resign,10,36,15,DOWN,0
15,tryouts,10,35,41,ACROSS,0
16,gamma,15,23,19,DOWN,0
17,pyromaniac,16,15,24,ACROSS,0
18,upon,1,32,4,DOWN,0
19,superstition,1,31,42,ACROSS,0
20,annually,0,42,7,DOWN,0
21,mama,4,39,42,ACROSS,0
22,dolce,6,40,44,ACROSS,0
23,explosives,6,38,15,DOWN,0
24,riveting,1,35,8,DOWN,0
25,sawing,6,32,37,ACROSS,0
26,implant,8,36,42,ACROSS,0
27,carpool,11,18,17,DOWN,0
28,computers,11,18,26,ACROSS,0
29,freelance,13,17,25,ACROSS,0
30,desktop,14,37,43,ACROSS,0
31,dinosaur,23,21,28,ACROSS,0
32,heights,5,26,11,DOWN,0
33,sutures,1,44,7,DOWN,0
34,link,23,31,34,ACROSS,0
35,misheard,21,20,28,DOWN,0
36,conning,8,20,26,ACROSS,0
37,malls,15,20,19,DOWN,0
38,teleport,3,21,10,DOWN,0
39,humid,2,43,47,ACROSS,0
40,flatter,3,17,23,ACROSS,0
41,gossip,4,24,9,DOWN,0
42,plague,6,16,21,ACROSS,0
43,secured,25,15,21,ACROSS,0
44,brandy,2,40,7,DOWN,0
45,lawn,2,19,5,DOWN,0
46,morality,9,16,16,DOWN,0
47,unforgiving,11,42,21,DOWN,0
48,protested,18,16,26,DOWN,0
49,manipulation,10,6,17,ACROSS,0
50,hunks,12,40,44,ACROSS,0
51,showdown,20,11,18,ACROSS,0
52,rewrote,22,10,16,ACROSS,0
53,gerbil,16,42,47,ACROSS,0
54,banal,20,40,44,ACROSS,0
55,cartons,5,8,11,DOWN,0
56,certificate,5,1,11,ACROSS,0
57,national,8,6,13,ACROSS,0
58,certain,0,5,6,DOWN,0
59,recheck,0,0,6,ACROSS,0
60,harps,2,3,7,ACROSS,0
61,heirloom,0,46,7,DOWN,0
62,bigot,0,30,4,DOWN,0
63,magnet,0,10,5,DOWN,0
64,huddle,4,13,9,DOWN,0
65,groundless,4,3,13,DOWN,0
66,toons,8,0,4,ACROSS,0
67,translators,1,8,18,ACROSS,0
68,chummy,23,18,28,DOWN,0
69,haha,0,44,47,ACROSS,0
70,unsatisfying,12,1,12,ACROSS,0
71,boneless,3,8,15,ACROSS,0
72,invites,18,40,46,ACROSS,0
73,mare,21,20,23,ACROSS,0
74,inspect,18,13,19,ACROSS,0
75,freckling,11,14,19,DOWN,0
76,unlike,11,11,16,DOWN,0
77,depict,14,8,13,ACROSS,0
78,dishonorable,16,0,11,ACROSS,0
79,cribbage,14,1,21,DOWN,0
80,coupling,12,47,19,DOWN,0
81,expressions,13,7,23,DOWN,0
82,expires,23,1,7,ACROSS,0
83,negotiator,1,0,10,DOWN,0
84,sunburn,14,5,20,DOWN,0
85,outgoing,22,14,29,DOWN,0
86,dealt,21,0,4,ACROSS,0
87,curtain,27,9,15,ACROSS,0
88,clientele,19,33,27,DOWN,0
89,ill,4,45,47,ACROSS,0
90,tenuous,12,25,18,DOWN,0
91,relieving,29,6,14,ACROSS,0
92,prepping,22,5,29,DOWN,0
93,beam,4,34,37,ACROSS,0
94,transmitted,27,24,37,DOWN,0
95,partnered,25,5,13,ACROSS,0
96,smothering,30,16,25,ACROSS,0
97,tusk,14,3,6,ACROSS,0
98,schoolgirl,33,17,26,ACROSS,0
99,unavailable,36,14,24,ACROSS,0
100,acrobat,19,32,38,ACROSS,0
101,silly,18,7,11,ACROSS,0
102,partially,18,37,26,DOWN,0
103,pillow,22,36,41,ACROSS,0
104,flack,24,36,40,ACROSS,0
105,gloriously,17,35,26,DOWN,0
106,bugged,35,14,40,DOWN,0
107,dicks,40,14,18,ACROSS,0
108,requisition,17,45,27,DOWN,0
109,squashed,40,18,47,DOWN,0
110,elope,26,43,47,ACROSS,0
111,fifteen,24,42,48,ACROSS,0
112,basketball,43,11,20,ACROSS,0
113,buzzes,46,14,19,ACROSS,0
114,sexual,3,15,8,DOWN,0
115,constitutes,22,48,32,DOWN,0
116,spoils,27,2,7,ACROSS,0
117,shedding,38,7,14,ACROSS,0
118,goddess,32,42,48,ACROSS,0
119,beeper,24,3,29,DOWN,0
120,injunction,31,12,40,DOWN,0
121,destinations,31,4,15,ACROSS,0
122,sicken,35,7,12,ACROSS,0
123,planning,17,9,24,DOWN,0
124,tucked,28,46,33,DOWN,0
125,traveler,28,26,35,DOWN,0
126,droppings,35,25,33,ACROSS,0
127,adjustable,30,4,39,DOWN,0
128,unbelievably,30,30,41,DOWN,0
129,alcohol,38,30,36,ACROSS,0
130,mower,39,1,5,ACROSS,0
131,temperatures,33,29,40,ACROSS,0
132,malfunctions,33,0,11,ACROSS,0
133,inspire,31,29,35,ACROSS,0
134,afternoons,29,38,38,DOWN,0
135,hoodlums,35,36,43,ACROSS,0
136,load,8,15,18,ACROSS,0
137,materialized,29,32,43,ACROSS,0
138,fellahs,36,0,6,ACROSS,0
139,gown,17,35,38,ACROSS,0
140,decks,31,18,35,DOWN,0
141,patriot,25,40,31,DOWN,0
142,stressed,38,38,45,ACROSS,0
143,gassy,19,0,4,ACROSS,0
144,buggy,41,26,30,ACROSS,0
145,bearer,25,42,30,DOWN,0
146,summarily,36,6,44,DOWN,0
147,rodents,27,35,41,ACROSS,0
148,pheromones,41,3,12,ACROSS,0
149,just,22,43,46,ACROSS,0
150,lantern,32,1,38,DOWN,0
151,perfection,34,44,43,DOWN,0
152,ails,10,1,4,ACROSS,0
153,firepower,42,39,47,ACROSS,0
154,twosome,9,44,15,DOWN,0
155,disregarded,35,47,45,DOWN,0
156,prospect,40,37,44,ACROSS,0
157,treasury,36,27,43,DOWN,0
158,paychecks,43,25,33,ACROSS,0
159,tendons,29,21,35,DOWN,0
160,stingray,39,21,28,ACROSS,0
161,considered,44,39,48,ACROSS,0
162,play,34,44,47,ACROSS,0
163,neatness,39,24,46,DOWN,0
164,composure,34,35,42,DOWN,0
165,aristocratic,45,21,32,ACROSS,0
166,larval,43,1,6,ACROSS,0
167,suited,30,16,35,DOWN,0
168,flatters,41,2,48,DOWN,0
169,kelp,42,34,37,ACROSS,0
170,escapes,46,2,8,ACROSS,0
171,spoken,48,2,7,ACROSS,0
172,mapped,15,31,20,DOWN,0
173,couriers,40,9,47,DOWN,0
174,tuna,9,44,47,ACROSS,0
175,prompt,28,36,33,DOWN,0
176,perfect,42,37,48,DOWN,0
177,resentful,46,34,42,ACROSS,0
178,holds,24,22,28,DOWN,0
179,analyzing,40,20,48,DOWN,0
180,sexiest,48,31,37,ACROSS,0
181,collecting,48,11,20,ACROSS,0
182,phony,21,24,25,DOWN,0
183,telescope,39,33,47,DOWN,0
184,fort,29,1,4,ACROSS,0
185,deets,24,12,28,DOWN,0
186,sol,5,23,25,ACROSS,0
187,honour,40,22,45,DOWN,0
188,pear,44,34,37,ACROSS,0
