,word,row,col,endpoint,direction,completion
0,druthers,25,25,32,ACROSS,0
1,apocalyptic,17,28,27,DOWN,0
2,closest,19,26,32,ACROSS,0
3,startle,17,26,32,ACROSS,0
4,apprised,21,28,35,ACROSS,0
5,flipped,12,32,18,DOWN,0
6,cumulative,13,28,37,ACROSS,0
7,pack,15,32,35,ACROSS,0
8,hardy,23,24,28,ACROSS,0
9,secrecy,27,23,29,ACROSS,0
10,christened,5,37,14,DOWN,0
11,grilling,7,36,43,ACROSS,0
12,meridian,11,36,43,ACROSS,0
13,brill,3,39,7,DOWN,0
14,flip,5,41,8,DOWN,0
15,observatory,3,38,48,ACROSS,0
16,intimidated,1,45,11,DOWN,0
17,dials,1,44,48,ACROSS,0
18,chomping,27,25,34,DOWN,0
19,fatten,9,42,47,ACROSS,0
20,relics,5,33,38,ACROSS,0
21,crawly,1,35,6,DOWN,0
22,pulmonary,2,28,36,ACROSS,0
23,arches,9,32,37,ACROSS,0
24,psst,31,25,28,ACROSS,0
25,initially,33,24,32,ACROSS,0
26,studying,0,29,7,DOWN,0
27,suppression,0,22,32,ACROSS,0
28,shortly,4,23,29,ACROSS,0
29,aft,5,40,42,ACROSS,0
30,outrage,7,24,30,ACROSS,0
31,incomplete,29,22,31,ACROSS,0
32,chickenpox,9,39,18,DOWN,0
33,busboy,17,35,40,ACROSS,0
34,durned,3,33,8,DOWN,0
35,description,14,38,48,ACROSS,0
36,senora,0,22,5,DOWN,0
37,prudence,2,17,24,ACROSS,0
38,securely,12,41,19,DOWN,0
39,harem,0,18,4,DOWN,0
40,ignores,7,47,13,DOWN,0
41,gig,6,44,46,ACROSS,0
42,caramel,4,14,20,ACROSS,0
43,detain,1,15,6,DOWN,0
44,acids,1,12,16,ACROSS,0
45,methods,2,31,8,DOWN,0
46,thermonuclear,6,9,21,ACROSS,0
47,eliminates,3,13,12,DOWN,0
48,obtain,8,8,13,ACROSS,0
49,faculty,10,8,14,ACROSS,0
50,roller,16,41,46,ACROSS,0
51,tragic,6,27,11,DOWN,0
52,treads,12,8,13,ACROSS,0
53,photographs,3,24,13,DOWN,0
54,sumptuous,13,16,24,ACROSS,0
55,lucid,11,25,29,ACROSS,0
56,recurring,9,19,27,ACROSS,0
57,reacquaint,8,17,17,DOWN,0
58,creak,11,17,21,ACROSS,0
59,sidewalks,15,16,24,ACROSS,0
60,presentation,17,9,20,ACROSS,0
61,diarrhea,0,11,7,DOWN,0
62,receptionist,12,15,23,DOWN,0
63,swaying,19,38,44,ACROSS,0
64,unpacking,20,8,16,ACROSS,0
65,respirator,3,2,11,ACROSS,0
66,clarification,23,6,18,ACROSS,0
67,chamomile,16,7,24,DOWN,0
68,ordering,0,3,7,DOWN,0
69,lakeside,14,21,21,DOWN,0
70,forever,0,2,8,ACROSS,0
71,academic,14,8,15,ACROSS,0
72,handouts,20,18,25,ACROSS,0
73,pep,7,32,34,ACROSS,0
74,applauding,1,5,10,DOWN,0
75,advisable,5,0,8,ACROSS,0
76,begets,12,26,17,DOWN,0
77,sororities,17,37,26,DOWN,0
78,barrister,23,31,39,ACROSS,0
79,unchanged,1,0,9,DOWN,0
80,tube,12,44,47,ACROSS,0
81,credence,16,1,8,ACROSS,0
82,stopwatch,26,37,45,ACROSS,0
83,lip,8,4,6,ACROSS,0
84,transient,10,3,18,DOWN,0
85,laws,12,2,5,ACROSS,0
86,parlour,19,17,25,DOWN,0
87,conditions,16,1,25,DOWN,0
88,surveillance,25,1,12,ACROSS,0
89,signaled,17,44,24,DOWN,0
90,microscope,25,14,23,ACROSS,0
91,compete,15,34,21,DOWN,0
92,factoring,20,3,28,DOWN,0
93,signaling,21,40,48,ACROSS,0
94,crummy,7,22,12,DOWN,0
95,riverbank,13,5,21,DOWN,0
96,don,9,0,2,ACROSS,0
97,ledge,23,43,47,ACROSS,0
98,disinformation,22,35,35,DOWN,0
99,overjoyed,28,35,43,ACROSS,0
100,clueless,4,7,11,DOWN,0
101,baseball,31,30,37,ACROSS,0
102,desirable,22,47,30,DOWN,0
103,cot,22,3,5,ACROSS,0
104,eternal,35,31,37,ACROSS,0
105,capsized,30,41,48,ACROSS,0
106,arsenal,6,20,12,DOWN,0
107,impolite,33,35,42,ACROSS,0
108,bluebells,26,33,34,DOWN,0
109,berserker,22,19,30,DOWN,0
110,blooded,29,14,20,ACROSS,0
111,ramble,11,30,16,DOWN,0
112,cider,27,15,19,ACROSS,0
113,gargling,28,0,7,ACROSS,0
114,bask,14,1,4,ACROSS,0
115,hamburgers,24,9,33,DOWN,0
116,constable,31,1,9,ACROSS,0
117,cooperating,23,13,33,DOWN,0
118,insinuating,31,13,23,ACROSS,0
119,bets,22,19,22,ACROSS,0
120,separation,28,29,37,DOWN,0
121,compensated,37,24,34,ACROSS,0
122,lather,21,23,26,DOWN,0
123,broker,15,46,20,DOWN,0
124,molecular,30,2,38,DOWN,0
125,adolescents,37,2,12,ACROSS,0
126,flesh,33,0,4,ACROSS,0
127,greet,29,8,12,ACROSS,0
128,encore,29,11,34,DOWN,0
129,profess,34,7,13,ACROSS,0
130,slur,18,21,24,ACROSS,0
131,pudding,15,48,21,DOWN,0
132,kiddo,29,38,33,DOWN,0
133,tis,20,0,2,ACROSS,0
134,musical,18,25,24,DOWN,0
135,tony,16,19,19,DOWN,0
136,duplex,35,1,6,ACROSS,0
137,eases,15,12,19,DOWN,0
138,copying,15,9,21,DOWN,0
139,babies,27,45,32,DOWN,0
140,embedded,33,42,40,DOWN,0
141,harnessed,36,38,46,ACROSS,0
142,megaphone,39,34,42,ACROSS,0
143,booted,0,9,5,DOWN,0
144,mattered,29,5,36,DOWN,0
145,fret,1,27,4,DOWN,0
146,lifetimes,26,21,34,DOWN,0
147,bibles,33,17,22,ACROSS,0
148,frostbite,33,0,41,DOWN,0
149,nancy,35,10,39,DOWN,0
150,throughout,40,0,9,ACROSS,0
151,pitch,30,16,34,DOWN,0
152,propositioning,34,27,47,DOWN,0
153,hedge,47,24,28,ACROSS,0
154,deejay,22,42,27,DOWN,0
155,hunks,39,23,27,ACROSS,0
156,millet,41,22,27,ACROSS,0
157,darkness,44,23,30,ACROSS,0
158,lawsuit,33,44,39,DOWN,0
159,satisfactory,35,17,28,ACROSS,0
160,penalize,34,31,41,DOWN,0
161,breezing,41,29,36,ACROSS,0
162,expressly,37,38,45,DOWN,0
163,mannequin,34,18,42,DOWN,0
164,blondes,37,15,21,ACROSS,0
165,disregard,43,36,44,ACROSS,0
