,word,row,col,endpoint,direction,completion
0,infectious,25,25,34,ACROSS,0
1,rotten,20,26,25,DOWN,0
2,tempted,22,22,28,ACROSS,0
3,sprinklers,20,18,27,ACROSS,0
4,briefed,16,28,22,DOWN,0
5,explosion,18,22,30,ACROSS,0
6,darker,14,22,19,DOWN,0
7,taunting,15,21,28,ACROSS,0
8,sincerity,8,25,16,DOWN,0
9,subject,8,25,31,ACROSS,0
10,goobers,12,21,27,ACROSS,0
11,boombox,4,27,10,DOWN,0
12,colonels,5,24,31,ACROSS,0
13,curled,1,29,6,DOWN,0
14,shaky,20,18,24,DOWN,0
15,discerning,1,26,35,ACROSS,0
16,fraulein,3,28,35,ACROSS,0
17,geyser,24,16,21,ACROSS,0
18,honorable,16,20,24,DOWN,0
19,icy,3,34,5,DOWN,0
20,tycoon,5,33,38,ACROSS,0
21,distinction,10,15,25,ACROSS,0
22,sixteenth,16,12,20,ACROSS,0
23,puffed,5,15,10,DOWN,0
24,mending,0,38,6,DOWN,0
25,rarest,5,18,10,DOWN,0
26,shallows,6,16,23,ACROSS,0
27,tablecloths,6,12,16,DOWN,0
28,admonish,0,36,43,ACROSS,0
29,hex,8,17,19,ACROSS,0
30,classified,10,4,13,ACROSS,0
31,hallway,7,7,13,ACROSS,0
32,inhumane,2,37,44,ACROSS,0
33,luckiest,12,12,19,ACROSS,0
34,box,4,25,6,DOWN,0
35,scrambled,0,20,8,DOWN,0
36,dare,2,18,21,ACROSS,0
37,prying,14,30,19,DOWN,0
38,headmaster,0,14,23,ACROSS,0
39,appropriations,14,3,16,ACROSS,0
40,disposing,1,23,9,DOWN,0
41,screwing,12,6,19,DOWN,0
42,jay,22,17,19,ACROSS,0
43,never,18,6,10,ACROSS,0
44,buyout,1,40,6,DOWN,0
45,fellers,12,0,6,ACROSS,0
46,eloquently,2,5,11,DOWN,0
47,cognizant,4,4,12,ACROSS,0
48,reinstating,2,4,14,ACROSS,0
49,suggest,8,1,14,DOWN,0
50,accessories,2,42,12,DOWN,0
51,discontinued,10,35,46,ACROSS,0
52,fern,5,41,44,ACROSS,0
53,freelancer,2,45,11,DOWN,0
54,perspectives,12,31,42,ACROSS,0
55,corrupting,9,33,18,DOWN,0
56,unarmed,4,16,22,ACROSS,0
57,hornet,4,36,9,DOWN,0
58,crunches,7,33,40,ACROSS,0
59,distort,16,32,38,ACROSS,0
60,brags,7,43,47,ACROSS,0
61,flogging,14,36,21,DOWN,0
62,gator,18,36,40,ACROSS,0
63,fostered,14,36,43,ACROSS,0
64,annihilated,20,34,44,ACROSS,0
65,burst,2,31,6,DOWN,0
66,pursue,6,1,6,ACROSS,0
67,sequestered,2,47,12,DOWN,0
68,paychecks,13,3,21,DOWN,0
69,committees,15,42,24,DOWN,0
70,untouchable,22,32,42,ACROSS,0
71,townhouse,24,35,43,ACROSS,0
72,arson,18,16,20,ACROSS,0
73,overdressed,1,3,11,DOWN,0
74,devote,11,17,16,DOWN,0
75,tabby,16,15,20,DOWN,0
76,artistic,17,10,24,DOWN,0
77,snores,16,40,45,ACROSS,0
78,react,16,0,4,ACROSS,0
79,explanatory,22,3,13,ACROSS,0
80,laden,18,0,4,ACROSS,0
81,recognition,20,4,14,ACROSS,0
82,job,9,39,11,DOWN,0
83,entry,1,13,5,DOWN,0
84,disagreements,14,45,26,DOWN,0
85,balcony,24,7,13,ACROSS,0
86,asphalt,18,1,24,DOWN,0
87,succumb,23,29,29,DOWN,0
88,advantages,26,36,45,ACROSS,0
89,movements,28,25,33,ACROSS,0
90,poked,22,5,26,DOWN,0
91,thrall,22,22,27,DOWN,0
92,peels,23,44,48,ACROSS,0
93,tense,25,1,5,ACROSS,0
94,cruiser,19,48,25,DOWN,0
95,concurrently,26,12,23,ACROSS,0
96,disagreed,23,34,31,DOWN,0
97,inundated,30,27,35,ACROSS,0
